Slope Mean,Slope Std,Aspect Mean,Aspect Std,Roughness,TPI Mean,TPI Std,Average Elevation
0.11391288,0.041396968,1.4645257,0.47466096,7.943022,2.1240234e-08,0.014653692,215.34402
0.10894775,0.05779617,1.6109998,1.2785311,6.0082746,-1.6845703e-08,0.019511566,190.29352
0.10571814,0.09258192,1.3813764,1.8882256,5.018616,-3.4179688e-09,0.029900476,176.2388
0.09370299,0.050295513,2.1278243,1.1957599,5.852648,-7.0800783e-09,0.020471692,165.10101
0.09371359,0.05055273,1.2274492,1.907352,4.910257,-1.953125e-08,0.015725441,155.21413
0.12848856,0.07368421,0.66044223,2.2679489,5.569989,-5.859375e-09,0.025727734,148.43053
0.07978296,0.0475374,0.8502062,1.9813306,3.6103976,2.294922e-08,0.01488093,144.94456
0.056153644,0.04834519,-0.16228856,1.9438778,1.5473642,9.521484e-09,0.020909535,135.76042
0.07392008,0.051556133,1.8202556,1.5352206,4.936928,-7.568359e-09,0.020169852,132.75168
0.060844112,0.037952352,1.1643095,2.12342,3.5076606,-1.3916016e-08,0.015375419,125.539085
0.07433341,0.09493462,0.41892812,1.6224298,3.016803,1.4160157e-08,0.023574363,117.786
0.099871665,0.10402316,0.74294907,0.8134295,4.851626,-1.5625e-08,0.026930269,111.92267
0.1284647,0.11376344,0.50562054,1.6515241,4.779111,-1.2207031e-09,0.030084154,100.87853
0.102896966,0.09180191,0.5550832,1.1795924,4.80873,-1.37939455e-08,0.028500663,91.55496
0.075399786,0.10460846,0.10036945,0.7341972,3.6560702,9.765625e-10,0.028089363,90.15423
0.15129353,0.22184537,-0.081063345,1.424193,4.883278,-2.9296876e-09,0.05315211,89.25599
0.2264844,0.28347218,0.053799085,2.0767345,7.3757744,1.6479492e-08,0.0496223,90.10194
0.3533488,0.29885602,-0.21957292,1.3712497,16.705204,-2.1362304e-08,0.07327218,96.6079
0.1424501,0.099273965,-0.16273876,1.4518754,7.6672926,-7.69043e-09,0.04147824,119.27933
0.09840794,0.07354375,0.3561789,1.9554126,2.7108612,7.69043e-09,0.032727767,123.71892
0.1308661,0.107675165,0.21724258,1.7282251,3.834851,-5.981445e-09,0.0432233,116.70325
0.1261665,0.095712796,1.1204926,1.3435205,6.903043,-1.8310546e-09,0.03063737,102.9946
0.10017218,0.05039416,0.16447715,1.9300957,4.1244187,3.2958984e-09,0.01680608,86.48437
0.09269316,0.096883826,0.56668776,1.6132523,3.767264,7.93457e-09,0.026936615,84.320946
0.07298036,0.06329508,1.1361104,1.3780236,3.8369863,-2.4414062e-09,0.027312908,73.57484
0.10805182,0.1371699,1.0262705,1.8337363,4.507647,-1.0986329e-09,0.032204013,62.218277
0.2590244,0.24887589,0.50978464,1.9977069,7.6269794,-6.347656e-09,0.052769296,52.208065
0.2700085,0.25447643,0.78158766,1.9435163,10.131795,1.8310548e-10,0.054016083,44.811573
0.19984452,0.21399602,0.42647678,1.9881436,9.3511715,3.6621093e-09,0.050361533,37.50345
0.0740525,0.08718683,0.8388025,1.5822551,2.0617478,-3.7841796e-09,0.024249585,36.02657
0.11506096,0.12764353,0.96976995,1.4989558,6.6496854,-7.019043e-10,0.03568511,15.326352
0.07679497,0.1440358,-0.19864728,1.5836709,1.4461447,-1.9836426e-10,0.045969147,9.524846
0.048832156,0.10306495,0.2677942,1.5770912,0.95847905,5.645752e-10,0.027877701,9.3872
0.086036876,0.1515808,-0.08548048,1.7729417,2.1888344,2.0599365e-10,0.042607844,9.562643
0.15338594,0.13766937,-0.99438024,0.81142086,8.606018,2.1514892e-09,0.03498296,25.793621
0.05619801,0.03794644,-0.62135315,0.9271551,3.5786185,-8.178711e-09,0.014490021,43.877903
0.05230909,0.04434407,-0.41502488,1.2016125,2.0810525,-5.493164e-10,0.022293625,47.93079
0.1324013,0.1565251,-0.7631221,1.1017975,4.4206276,1.4648438e-09,0.042079635,55.799717
0.05857895,0.06063524,-0.41982687,1.3102438,2.4431663,-3.6621095e-10,0.022310527,63.50771
0.038800023,0.02344613,0.23290944,1.6345977,1.1699548,6.713867e-10,0.014014083,65.78443
